TY,T1,AU,JO,VL,SP,PY,DA,SN,DO,UR,KW,AB,EP,IS,T2,We,In
,,"Gao, Haichang",,,,,,,,,Adaptive,,,,,,
,,"Yao, Zhou",,,,,,,,,Text classification,,,,,,
,,"Xiong, Haoquan",,,,,,,,,Keyword substitution,,,,,,
JOUR,Semantic matching in machine reading comprehension: An empirical study,"Liu, Qian",Information Processing & Management,60,103145,2023,2023/03/01/,0306-4573,https://doi.org/10.1016/j.ipm.2022.103145,https://www.sciencedirect.com/science/article/pii/S0306457322002461,Natural language processing,"Machine reading comprehension (MRC) is a challenging task in the field of artificial intelligence. Most existing MRC works contain a semantic matching module, either explicitly or intrinsically, to determine whether a piece of context answers a question. However, there is scant work which systematically evaluates different paradigms using semantic matching in MRC. In this paper, we conduct a systematic empirical study on semantic matching. We formulate a two-stage framework which consists of a semantic matching model and a reading model, based on pre-trained language models. We compare and analyze the effectiveness and efficiency of using semantic matching modules with different setups on four types of MRC datasets. We verify that using semantic matching before a reading model improves both the effectiveness and efficiency of MRC. Compared with answering questions by extracting information from concise context, we observe that semantic matching yields more improvements for answering questions with noisy and adversarial context. Matching coarse-grained context to questions, e.g., paragraphs, is more effective than matching fine-grained context, e.g., sentences and spans. We also find that semantic matching is helpful for answering who/where/when/what/how/which questions, whereas it decreases the MRC performance on why questions. This may imply that semantic matching helps to answer a question whose necessary information can be retrieved from a single sentence. The above observations demonstrate the advantages and disadvantages of using semantic matching in different scenarios.",2,,,,
,,"Mao, Rui",,,,,,,,,Machine reading comprehension,,,,,,
,,"Geng, Xiubo",,,,,,,,,Question answering,,,,,,
,,"Cambria, Erik",,,,,,,,,Semantic matching,,,,,,
JOUR,An emotion and cognitive based analysis of mental health disorders from social media data,"Uban, Ana-Sabina",Future Generation Computer Systems,124,480,2021,2021/11/01/,0167-739X,https://doi.org/10.1016/j.future.2021.05.032,https://www.sciencedirect.com/science/article/pii/S0167739X21001825,Mental health disorders,"Mental disorders can severely affect quality of life, constitute a major predictive factor of suicide, and are usually underdiagnosed and undertreated. Early detection of signs of mental health problems is particularly important, since unattended, they can be life-threatening. This is why a deep understanding of the complex manifestations of mental disorder development is important. We present a study of mental disorders in social media, from different perspectives. We are interested in understanding whether monitoring language in social media could help with early detection of mental disorders, using computational methods. We developed deep learning models to learn linguistic markers of disorders, at different levels of the language (content, style, emotions), and further try to interpret the behavior of our models for a deeper understanding of mental disorder signs. We complement our prediction models with computational analyses grounded in theories from psychology related to cognitive styles and emotions, in order to understand to what extent it is possible to connect cognitive styles with the communication of emotions over time. The final goal is to distinguish between users diagnosed with a mental disorder and healthy users, in order to assist clinicians in diagnosing patients. We consider three different mental disorders, which we analyze separately and comparatively: depression, anorexia, and self-harm tendencies.",,494,,,
,,"Chulvi, Berta",,,,,,,,,Early risk prediction,,,,,,
,,"Rosso, Paolo",,,,,,,,,Emotions,,,,,,
,,,,,,,,,,,Cognitive styles,,,,,,
,,,,,,,,,,,Deep learning,,,,,,
,,,,,,,,,,,Social media,,,,,,
JOUR,A survey on text generation using generative adversarial networks,"de Rosa, Gustavo H.",Pattern Recognition,119,108098,2021,2021/11/01/,0031-3203,https://doi.org/10.1016/j.patcog.2021.108098,https://www.sciencedirect.com/science/article/pii/S0031320321002855,Text generation,"This work presents a thorough review concerning recent studies and text generation advancements using Generative Adversarial Networks. The usage of adversarial learning for text generation is promising as it provides alternatives to generate the so-called “natural” language. Nevertheless, adversarial text generation is not a simple task as its foremost architecture, the Generative Adversarial Networks, were designed to cope with continuous information (image) instead of discrete data (text). Thus, most works are based on three possible options, i.e., Gumbel-Softmax differentiation, Reinforcement Learning, and modified training objectives. All alternatives are reviewed in this survey as they present the most recent approaches for generating text using adversarial-based techniques. The selected works were taken from renowned databases, such as Science Direct, IEEEXplore, Springer, Association for Computing Machinery, and arXiv, whereas each selected work has been critically analyzed and assessed to present its objective, methodology, and experimental results.",,,,,
,,"Papa, João P.",,,,,,,,,Generative adversarial Networks,,,,,,
,,,,,,,,,,,Machine learning,,,,,,
,,,,,,,,,,,Language modeling,,,,,,
,,,,,,,,,,,Natural language processing,,,,,,
JOUR,VictimFinder: Harvesting rescue requests in disaster response from social media with BERT,"Zhou, Bing","Computers, Environment and Urban Systems",95,101824,2022,2022/07/01/,0198-9715,https://doi.org/10.1016/j.compenvurbsys.2022.101824,https://www.sciencedirect.com/science/article/pii/S0198971522000680,Social media,"Social media platforms are playing increasingly critical roles in disaster response and rescue operations. During emergencies, users can post rescue requests along with their addresses on social media, while volunteers can search for those messages and send help. However, efficiently leveraging social media in rescue operations remains challenging because of the lack of tools to identify rescue request messages on social media automatically and rapidly. Analyzing social media data, such as Twitter data, relies heavily on Natural Language Processing (NLP) algorithms to extract information from texts. The introduction of bidirectional transformers models, such as the Bidirectional Encoder Representations from Transformers (BERT) model, has significantly outperformed previous NLP models in numerous text analysis tasks, providing new opportunities to precisely understand and classify social media data for diverse applications. This study developed and compared ten VictimFinder models for identifying rescue request tweets, three based on milestone NLP algorithms and seven BERT-based. A total of 3191 manually labeled disaster-related tweets posted during 2017 Hurricane Harvey were used as the training and testing datasets. We evaluated the performance of each model by classification accuracy, computation cost, and model stability. Experiment results show that all BERT-based models have significantly increased the accuracy of categorizing rescue-related tweets. The best model for identifying rescue request tweets is a customized BERT-based model with a Convolutional Neural Network (CNN) classifier. Its F1-score is 0.919, which outperforms the baseline model by 10.6%. The developed models can promote social media use for rescue operations in future disaster events.",,,,,
,,"Zou, Lei",,,,,,,,,Natural language processing,,,,,,
,,"Mostafavi, Ali",,,,,,,,,BERT,,,,,,
,,"Lin, Binbin",,,,,,,,,Disaster response,,,,,,
,,"Yang, Mingzheng",,,,,,,,,Emergency rescue,,,,,,
,,"Gharaibeh, Nasir",,,,,,,,,,,,,,,
,,"Cai, Heng",,,,,,,,,,,,,,,
,,"Abedin, Joynal",,,,,,,,,,,,,,,
,,"Mandal, Debayan",,,,,,,,,,,,,,,
JOUR,Refining fine-tuned transformers with hand-crafted features for gender screening on question-answering communities,"Figueroa, Alejandro",Information Fusion,92,256,2023,2023/04/01/,1566-2535,https://doi.org/10.1016/j.inffus.2022.12.003,https://www.sciencedirect.com/science/article/pii/S1566253522002512,Gender recognition,"Machine learning and demographic analysis are a cornerstone for making community Question Answering (cQA) platforms more egalitarian and vibrant, safer as well. For instance, the two cooperate on successfully detecting suspicious/malicious activity and on stirring up the interest of community fellows to learn by exploring new topics. In this sense, both research fields play a vital role in reducing gender disparity across categories, when promoting unresolved questions to potential answerers. Current state-of-the-art artificial intelligence architectures, such as pre-trained transformers, train complex goals and million of parameters as a means of inferring and encoding knowledge from massive corpora. Fine-tuning is the process that allows later to transfer this encrypted information to a downstream task (e.g., gender classification). Needless to say, these pre-trained encoders also suffer from multiple disadvantages. To give an example, they are sensitive to irrelevant and misleading words, bringing about overfitting, usually on small datasets. This work offers a fresh look at this kind of technique by introducing PTM-SFFS, a novel approach that effectively pairs frontier transformers with linguistic properties via the use of traditional classifiers. Based on a feature wrapper (SFFS), PTM-SFFS refines the scores produced by a fine-tuned model via seeking for an array of mostly linguistic features to build a conventional statistical classifier (e.g., Bayes and MaxEnt). And as a result, this new discriminant function enhances the overall prediction rate by optimizing the synergy between both sorts of strategies. When applied to automatic gender recognition on cQA sites, PTM-SFFS increased the accuracy of seven fine-tuned state-of-the-art encoders up to 10% (XLNet). Thanks to its interpretability, we discover that it capitalizes on dependency parsing and metadata for improving the transference of lexicalized information to the target domain.",,267,,,
,,,,,,,,,,,User analysis,,,,,,
,,,,,,,,,,,Community question answering,,,,,,
,,,,,,,,,,,Pre-trained models,,,,,,
,,,,,,,,,,,Statistical classifiers,,,,,,
,,,,,,,,,,,Natural language processing,,,,,,
JOUR,A hybrid lexicon-based and neural approach for explainable polarity detection,"Polignano, Marco",Information Processing & Management,59,103058,2022,2022/09/01/,0306-4573,https://doi.org/10.1016/j.ipm.2022.103058,https://www.sciencedirect.com/science/article/pii/S0306457322001613,Sentiment analysis,"In this work, we propose BERT-WMAL, a hybrid model that brings together information coming from data through the recent transformer deep learning model and those obtained from a polarized lexicon. The result is a model for sentence polarity that manages to have performances comparable with those at the state-of-the-art, but with the advantage of being able to provide the end-user with an explanation regarding the most important terms involved with the provided prediction. The model has been evaluated on three polarity detection Italian dataset, i.e., SENTIPOLC, AGRITREND and ABSITA. While the first contains 7,410 tweets released for training and 2,000 for testing, the second and the third respectively include 1,000 tweets without splitting , and 2,365 reviews for training, 1,171 for testing. The use of lexicon-based information proves to be effective in terms of the F1 measure since it shows an improvement of F1 score on all the observed dataset: from 0.664 to 0.669 (i.e, 0.772%) on AGRITREND, from 0.728 to 0.734 (i.e., 0.854%) on SENTIPOLC and from 0.904 to 0.921 (i.e, 1.873%) on ABSITA. The usefulness of this model not only depends on its effectiveness in terms of the F1 measure, but also on its ability to generate predictions that are more explainable and especially convincing for the end-users. We evaluated this aspect through a user study involving four native Italian speakers, each evaluating 64 sentences with associated explanations. The results demonstrate the validity of this approach based on a combination of weights of attention extracted from the deep learning model and the linguistic knowledge stored in the WMAL lexicon. These considerations allow us to regard the approach provided in this paper as a promising starting point for further works in this research area.",5,,,,
,,"Basile, Valerio",,,,,,,,,Polarity detection,,,,,,
,,"Basile, Pierpaolo",,,,,,,,,Lexicon,,,,,,
,,"Gabrieli, Giuliano",,,,,,,,,WMAL,,,,,,
,,"Vassallo, Marco",,,,,,,,,BERT,,,,,,
,,"Bosco, Cristina",,,,,,,,,Explanation,,,,,,
,,,,,,,,,,,Deep learning,,,,,,
,,,,,,,,,,,Machine learning,,,,,,
JOUR,Attention uncovers task-relevant semantics in emotional narrative understanding,"Nguyen, Thanh-Son",Knowledge-Based Systems,226,107162,2021,2021/08/17/,0950-7051,https://doi.org/10.1016/j.knosys.2021.107162,https://www.sciencedirect.com/science/article/pii/S0950705121004251,Explainable AI,"Attention mechanisms in deep neural network models have helped them to achieve exceptional performance at complex natural language processing tasks. Previous attempts to investigate what these models have been “paying attention to” suggest that these attention representations capture syntactic information, but there is less evidence for semantics. In this paper, we investigate the capability of an attention mechanism to “attend to” semantically meaningful words. Using a dataset of naturalistic emotional narratives, we first build a Window-Based Attention (WBA) consisting of a hierarchical, two-level long short-term memory (LSTM) with softmax attention. Our model outperforms state-of-the-art models at predicting emotional valence, and even surpassing average human performance. Next, we show in detailed analyses, including word deletion experiments and visualizations, that words that receive higher attention weights in our model also tend to have greater emotional semantic meaning. Experimental results using six different pre-trained word embeddings suggest that deep neural network models which achieve human-level performance may learn to place greater attention weights on words that humans find semantically meaningful to the task at hand.",,,,,
,,"Wu, Zhengxuan",,,,,,,,,Emotion understanding,,,,,,
,,"Ong, Desmond C.",,,,,,,,,Neural network attention,,,,,,
JOUR,A BERT-based deontic logic learner,"Sun, Jingyun",Information Processing & Management,60,103374,2023,2023/07/01/,0306-4573,https://doi.org/10.1016/j.ipm.2023.103374,https://www.sciencedirect.com/science/article/pii/S0306457323001115,Legal AI,"In recent years, large-scale Pre-trained Language Models (PLMs) like BERT have achieved state-of-the-art results on many NLP tasks. We explore whether BERT understands deontic logic which is important for the fields of legal AI and digital government. We measure BERT's understanding of deontic logic through the Deontic Modality Classification (DMC) task. Experiments show that without fine-tuning or fine-tuning with only a small amount of data, BERT cannot achieve good performance on the DMC task. Therefore, we propose a new method for BERT fine-tuning and prediction, called DeonticBERT. The method incorporates heuristic knowledge from deontic logic theory as an inductive bias into BERT through a template function and a mapping between category labels and predicted words, to steer BERT understand the DMC task. This can also stimulate BERT to recall the deontic logic knowledge learned in pre-training. We use an English dataset widely used as well as a Chinese dataset we constructed to conduct experiments. Experimental results show that on the DMC task, DeonticBERT can achieve 66.9% and 91% accuracy under zero-shot and few-shot conditions, respectively, far exceeding other baselines. This demonstrates that DeonticBERT does enable BERT to understand deontic logic and can handle related tasks without using much fine-tuning data. Our research helps facilitate applying large-scale PLMs like BERT into legal AI and digital government.",4,,,,
,,"Huang, Shaobin",,,,,,,,,Digital government,,,,,,
,,"Wei, Chi",,,,,,,,,"Normative text, Deontic logic",,,,,,
,,,,,,,,,,,Pre-trained language model,,,,,,
JOUR,Efficient parameter tuning of neural foundation models for drug perspective prediction from unstructured socio-medical data,"Unnikrishnan, Reshma",Engineering Applications of Artificial Intelligence,123,106214,2023,2023/08/01/,0952-1976,https://doi.org/10.1016/j.engappai.2023.106214,https://www.sciencedirect.com/science/article/pii/S0952197623003986,Social media analysis,"The phenomenal popularity of social media platforms over the past decade has accelerated the development of intelligent applications that leverage social media data for informed decision-making in diverse domains like finance, education, public policy and healthcare management practices. While understanding the colloquial language of users on social media remains a challenging problem, access to users’ medical perspectives that conversationally divulge healthcare-related experiences and insights can help reshape healthcare ecosystems like chronic disease management, pandemics, public health, pharmacovigilance and more. Most existing models are constrained to a particular dataset while neglecting model adaptability across data sources and domains. Model generalization across variable data sizes also has received very little research attention. Conventional foundation models can be fine-tuned by adding additional model heads or by appending contributing network layers, however, there has been very little focus on effective parameter calibration for adapting neural foundation models to a specific task. In this study, an Adaptive Learning mechanism for Socio-Medical data (AL4SM) built on generic foundation neural models with efficient parameter learning is proposed, to categorize users’ perspectives on prescription drug-related experiences and adapt to diverse socio-medical data sources of variable sizes. AL4SM aims to lighten the over-parameterized mechanisms adopted by existing foundational techniques by efficiently learning latent medical information based on optimized parameter calibration and weight reinitialization techniques. Comprehensive cross-domain and cross-data analyses are undertaken to explore specific user perspectives related to prescription effectiveness and side effects. Validation experiments conducted on standard datasets obtained from Drugs.com and Druglib.com revealed that the proposed AL4SM outperformed state-of-the-art models, achieving an improvement of 6.06% in accuracy and 7.62% in F1-score for 3-class and 2% in F1-score for 10-class drug perspective categorization. The cross-data experiments further emphasized the superiority of the proposed model, with improved accuracy of 17% on Drugs.com and 9% on Druglib.com datasets, respectively.",,,,,
,,"S., Sowmya Kamath",,,,,,,,,Neural language modelling,,,,,,
,,"V.S., Ananthanarayana",,,,,,,,,Efficient parameter learning,,,,,,
,,,,,,,,,,,Data-centric approach,,,,,,
,,,,,,,,,,,Perspective prediction,,,,,,
JOUR,Twitter conversations predict the daily confirmed COVID-19 cases,"Lamsal, Rabindra",Applied Soft Computing,129,109603,2022,2022/11/01/,1568-4946,https://doi.org/10.1016/j.asoc.2022.109603,https://www.sciencedirect.com/science/article/pii/S1568494622006524,Pandemic forecast,"As of writing this paper, COVID-19 (Coronavirus disease 2019) has spread to more than 220 countries and territories. Following the outbreak, the pandemic’s seriousness has made people more active on social media, especially on the microblogging platforms such as Twitter and Weibo. The pandemic-specific discourse has remained on-trend on these platforms for months now. Previous studies have confirmed the contributions of such socially generated conversations towards situational awareness of crisis events. The early forecasts of cases are essential to authorities to estimate the requirements of resources needed to cope with the outgrowths of the virus. Therefore, this study attempts to incorporate the public discourse in the design of forecasting models particularly targeted for the steep-hill region of an ongoing wave. We propose a sentiment-involved topic-based latent variables search methodology for designing forecasting models from publicly available Twitter conversations. As a use case, we implement the proposed methodology on Australian COVID-19 daily cases and Twitter conversations generated within the country. Experimental results: (i) show the presence of latent social media variables that Granger-cause the daily COVID-19 confirmed cases, and (ii) confirm that those variables offer additional prediction capability to forecasting models. Further, the results show that the inclusion of social media variables introduces 48.83%–51.38% improvements on RMSE over the baseline models. We also release the large-scale COVID-19 specific geotagged global tweets dataset, MegaGeoCOV, to the public anticipating that the geotagged data of this scale would aid in understanding the conversational dynamics of the pandemic through other spatial and temporal contexts.",,,,,
,,"Harwood, Aaron",,,,,,,,,Time series analysis,,,,,,
,,"Read, Maria Rodriguez",,,,,,,,,Social media analytics,,,,,,
,,,,,,,,,,,Twitter analytics,,,,,,
,,,,,,,,,,,Granger causality,,,,,,
,,,,,,,,,,,ARIMAX models,,,,,,
,,,,,,,,,,,VAR models,,,,,,
JOUR,Constructing and analyzing domain-specific language model for financial text mining,"Suzuki, Masahiro",Information Processing & Management,60,103194,2023,2023/03/01/,0306-4573,https://doi.org/10.1016/j.ipm.2022.103194,https://www.sciencedirect.com/science/article/pii/S0306457322002953,Language models,"The application of natural language processing (NLP) to financial fields is advancing with an increase in the number of available financial documents. Transformer-based models such as Bidirectional Encoder Representations from Transformers (BERT) have been successful in NLP in recent years. These cutting-edge models have been adapted to the financial domain by applying financial corpora to existing pre-trained models and by pre-training with the financial corpora from scratch. In Japanese, by contrast, financial terminology cannot be applied from a general vocabulary without further processing. In this study, we construct language models suitable for the financial domain. Furthermore, we compare methods for adapting language models to the financial domain, such as pre-training methods and vocabulary adaptation. We confirm that the adaptation of a pre-training corpus and tokenizer vocabulary based on a corpus of financial text is effective in several downstream financial tasks. No significant difference is observed between pre-training with the financial corpus and continuous pre-training from the general language model with the financial corpus. We have released our source code and pre-trained models.",2,,,,
,,"Sakaji, Hiroki",,,,,,,,,Domain-specific pre-training,,,,,,
,,"Hirano, Masanori",,,,,,,,,Financial market,,,,,,
,,"Izumi, Kiyoshi",,,,,,,,,Natural language processing,,,,,,
JOUR,Multi-label legal document classification: A deep learning-based approach with label-attention and domain-specific pre-training,"Song, Dezhao",Information Systems,106,101718,2022,2022/05/01/,0306-4379,https://doi.org/10.1016/j.is.2021.101718,https://www.sciencedirect.com/science/article/pii/S0306437921000016,Multi-label classification,"Multi-label document classification has a broad range of applicability to various practical problems, such as news article topic tagging, sentiment analysis, medical code classification, etc. A variety of approaches (e.g., tree-based methods, neural networks and deep learning systems that are specifically based on pre-trained language models) have been developed for multi-label document classification problems and have achieved satisfying performance on different datasets. In the legal domain, however, one is often faced with several key challenges when working with multi-label classification tasks. One critical challenge is the lack of high-quality human labeled datasets, which prevents researchers and practitioners from achieving decent performance on respective tasks. Also, existing methods on multi-label classification typically focus on the majority classes, which results in an unsatisfying performance for other important classes that do not have sufficient training samples. In order to tackle the above challenges, in this paper, we first present POSTURE50K, a novel legal extreme multi-label classification dataset, which we will release to the research community. The dataset contains 50,000 legal opinions and their manually labeled legal procedural postures. Labels in this dataset follow a Zipfian distribution, leaving many of the classes with only a few samples. Furthermore, we propose a deep learning architecture that adopts domain-specific pre-training and a label-attention mechanism for multi-label document classification. We evaluate our proposed architecture on POSTURE50K and another legal multi-label dataset EUROLEX57K, and show that our approach achieves better performances than two baseline systems and another four recent state-of-the-art methods on both datasets.",,,,,
,,"Vold, Andrew",,,,,,,,,Procedural posture,,,,,,
,,"Madan, Kanika",,,,,,,,,Label-attended document classification,,,,,,
,,"Schilder, Frank",,,,,,,,,Domain-specific pre-training,,,,,,
JOUR,Sentimental Contrastive Learning for event representation,"Zhou, Yan",Natural Language Processing Journal,4,100031,2023,2023/09/01/,2949-7191,https://doi.org/10.1016/j.nlp.2023.100031,https://www.sciencedirect.com/science/article/pii/S2949719123000286,Event representation learning,"Event representation learning is crucial for numerous event-driven tasks, as the quality of event representations greatly influences the performance of these tasks. However, many existing event representation methods exhibit a heavy reliance on semantic features, often neglecting the wealth of information available in other dimensions of events. Consequently, these methods struggle to capture subtle distinctions between events. Incorporating sentimental information can be particularly useful when modeling event data, as leveraging such information can yield superior event representations. To effectively integrate sentimental information, we propose a novel event representation learning framework, namely Sentimental Contrastive Learning (SCL). Specifically, we firstly utilize BERT as the backbone network for pre-training and obtain the initial event representations. Subsequently, we employ instance-level and cluster-level contrastive learning to fine-tune the original event representations. We introduce two distinct contrastive losses respectively for instance-level and cluster-level contrastive learning, each aiming to incorporate sentimental information from different perspectives. To evaluate the effectiveness of our proposed model, we select the event similarity evaluation task and conduct experiments on three representative datasets. Extensive experimental results demonstrate obvious performance improvement achieved by our approach over many other models.",,,,,
,,"Li, Xiaodong",,,,,,,,,Contrastive learning,,,,,,
,,,,,,,,,,,Sentiment analysis,,,,,,
,,,,,,,,,,,Pre-trained model,,,,,,
JOUR,KnowleNet: Knowledge fusion network for multimodal sarcasm detection,"Yue, Tan",Information Fusion,100,101921,2023,2023/12/01/,1566-2535,https://doi.org/10.1016/j.inffus.2023.101921,https://www.sciencedirect.com/science/article/pii/S1566253523002373,Sarcasm detection,"Sarcasm is a form of communication often used to express contempt or ridicule, where the speaker conveys a message opposite to their true meaning, typically intending to mock or belittle a specific target. Sarcasm detection has gained great attention in the field of natural language processing due to the fact that sarcasm is widespread on social media and difficult to detect for machines. While early efforts in sarcasm detection solely relied on textual data, the abundance of multimodal data on social media is also non-negligible. Recent research has focused on multimodal sarcasm detection, where attention mechanisms and graph neural networks were commonly used to identify relevant information in both image and text data. However, these methods may overlook the importance of prior knowledge and cross-modal semantic contrast, which are crucial factors for human sarcasm detection. In this paper, we propose a novel model named KnowleNet that leverages the ConceptNet knowledge base to incorporate prior knowledge and determine image–text relatedness through sample-level and word-level cross-modal semantic similarity detection. Contrastive learning is also introduced to improve the spatial distribution of sarcastic (positive) and non-sarcastic (negative) samples. The proposed model achieves state-of-the-art performance on publicly available benchmark datasets.",,,,,
,,"Mao, Rui",,,,,,,,,Multimodal learning,,,,,,
,,"Wang, Heng",,,,,,,,,Information fusion,,,,,,
,,"Hu, Zonghai",,,,,,,,,,,,,,,
,,"Cambria, Erik",,,,,,,,,,,,,,,
JOUR,Context-aware attention layers coupled with optimal transport domain adaptation and multimodal fusion methods for recognizing dementia from spontaneous speech,"Ilias, Loukas",Knowledge-Based Systems,277,110834,2023,2023/10/09/,0950-7051,https://doi.org/10.1016/j.knosys.2023.110834,https://www.sciencedirect.com/science/article/pii/S0950705123005841,Dementia,"Alzheimer’s disease (AD) constitutes a complex neurocognitive disease and is the main cause of dementia. Although many studies have been proposed targeting at diagnosing dementia through spontaneous speech, there are still limitations. Existing state-of-the-art approaches, which propose multimodal methods, train separately language and acoustic models, employ majority-vote approaches, and concatenate the representations of the different modalities either at the input level, i.e., early fusion, or during training. Also, some of them employ self-attention layers, which calculate the dependencies between representations without considering the contextual information. In addition, no prior work has taken into consideration the model calibration. To address these limitations, we propose some new methods for detecting AD patients, which capture the intra- and cross-modal interactions. First, we convert the audio files into log-Mel spectrograms, their delta, and delta-delta and create in this way an image per audio file consisting of three channels. Next, we pass each transcript and image through BERT and DeiT models respectively. After that, context-based self-attention layers, self-attention layers with a gate model, and optimal transport domain adaptation methods are employed for capturing the intra- and inter-modal interactions. Finally, we exploit two methods for fusing the self and cross-attention features. For taking into account the model calibration, we apply label smoothing. We use both performance and calibration metrics. Experiments conducted on the ADReSS and ADReSSo Challenge datasets indicate the efficacy of our introduced approaches over existing research initiatives with our best performing model reaching Accuracy and F1-score up to 91.25% and 91.06% respectively.",,,,,
,,"Askounis, Dimitris",,,,,,,,,Log-Mel spectrogram,,,,,,
,,,,,,,,,,,BERT,,,,,,
,,,,,,,,,,,DeiT,,,,,,
,,,,,,,,,,,Optimal transport,,,,,,
,,,,,,,,,,,Context-based self-attention,,,,,,
,,,,,,,,,,,Model calibration,,,,,,
,,,,,,,,,,,Label smoothing,,,,,,
JOUR,Generating news image captions with semantic discourse extraction and contrastive style-coherent learning,"Zhang, Zhengkun",Computers and Electrical Engineering,104,108429,2022,2022/12/01/,0045-7906,https://doi.org/10.1016/j.compeleceng.2022.108429,https://www.sciencedirect.com/science/article/pii/S0045790622006462,News image captioning,"News image captioning is a popular and advanced task requiring the generation of image captions that reflect the relevant information contained in the news articles. The existing approaches usually align objects in images with corresponding news content and focus on entity-based approaches. However, their limitations are threefold: (a) semantic discourses of news contexts are largely unexplored, (b) the caption style has not yet been used, and (c) key entities are not ensured to be generated during caption generation. In this paper, we propose a novel framework for generating news image captions which are semantically informative, well-styled and entity-aware controllable. Specifically, the semantics of news articles are preserved by separating them into elementary discourse units (EDUs), which are fine-grained basic semantic units. Moreover, we introduce a Contrastive Style Reward to ensure that the style of captions and corresponding news content are coherent. Furthermore, we introduce a controllable mechanism to ensure that key entities are generated during the generation process. Extensive experiments on two large-scale news datasets demonstrate the effectiveness of the proposed framework.",,,,,
,,"Zhang, Huibin",,,,,,,,,Element discourse unit,,,,,,
,,"Wang, Jun",,,,,,,,,Text style,,,,,,
,,"Sun, Zhe",,,,,,,,,Entity-aware controllable generation,,,,,,
,,"Yang, Zhenglu",,,,,,,,,,,,,,,
JOUR,Persuasive dialogue understanding: The baselines and negative results,"Chen, Hui",Neurocomputing,431,47,2021,2021/03/28/,0925-2312,https://doi.org/10.1016/j.neucom.2020.11.040,https://www.sciencedirect.com/science/article/pii/S0925231220318336,Persuasive dialogue systems,"Persuasion aims at forming one’s opinion and action via a series of persuasive messages containing persuader’s strategies. Due to its potential application in persuasive dialogue systems, the task of persuasive strategy recognition has gained much attention lately. Previous methods on user intent recognition in dialogue systems adopt recurrent neural network (RNN) or convolutional neural network (CNN) to model context in conversational history, neglecting the tactic history and intra-speaker relation. In this paper, we demonstrate the limitations of a Transformer-based approach coupled with Conditional Random Field (CRF) for the task of persuasive strategy recognition. In this model, we leverage inter- and intra-speaker contextual semantic features, as well as label dependencies to improve the recognition. Despite extensive hyper-parameter optimizations, this architecture fails to outperform the baseline methods. We observe two negative results. Firstly, CRF cannot capture persuasive label dependencies, possibly as strategies in persuasive dialogues do not follow any strict grammar or rules as the cases in Named Entity Recognition (NER) or part-of-speech (POS) tagging. Secondly, the Transformer encoder trained from scratch is less capable of capturing sequential information in persuasive dialogues than Long Short-Term Memory (LSTM). We attribute this to the reason that the vanilla Transformer encoder does not efficiently consider relative position information of sequence elements.",,56,,,
,,"Ghosal, Deepanway",,,,,,,,,Transformer-based neural networks,,,,,,
,,"Majumder, Navonil",,,,,,,,,Conditional random Field,,,,,,
,,"Hussain, Amir",,,,,,,,,Persuasive strategy recognition,,,,,,
,,"Poria, Soujanya",,,,,,,,,,,,,,,
JOUR,FacTeR-Check: Semi-automated fact-checking through semantic similarity and natural language inference,"Martín, Alejandro",Knowledge-Based Systems,251,109265,2022,2022/09/05/,0950-7051,https://doi.org/10.1016/j.knosys.2022.109265,https://www.sciencedirect.com/science/article/pii/S0950705122006323,Misinformation,"Our society produces and shares overwhelming amounts of information through Online Social Networks (OSNs). Within this environment, misinformation and disinformation have proliferated, becoming a public safety concern in most countries. Allowing the public and professionals to efficiently find reliable evidence about the factual veracity of a claim is a crucial step to mitigate this harmful spread. To this end, we propose FacTeR-Check, a multilingual architecture for semi-automated fact-checking and hoaxes propagation analysis that can be used to implement applications designed for both the general public and for fact-checking organisations. FacTeR-Check implements three different modules relying on the XLM-RoBERTa Transformer architecture to evaluate semantic similarity, to calculate natural language inference and to build search queries through automatic keywords extraction and Named-Entity Recognition. The three modules have been validated using state-of-the-art benchmark datasets, exhibiting good performance in all of them. Besides, FacTeR-Check is employed to collect and label a dataset, called NLI19-SP, composed of more than 40,000 tweets supporting or denying 60 hoaxes related to COVID-19, released publicly. Finally, an analysis of the data collected in this dataset is provided, which allows to obtain a deep insight of how disinformation operated during the COVID-19 pandemic in Spanish-speaking countries.",,,,,
,,"Huertas-Tato, Javier",,,,,,,,,Transformers,,,,,,
,,"Huertas-García, Álvaro",,,,,,,,,COVID-19,,,,,,
,,"Villar-Rodríguez, Guillermo",,,,,,,,,Hoax,,,,,,
,,"Camacho, David",,,,,,,,,Natural language inference,,,,,,
,,,,,,,,,,,Semantic similarity,,,,,,
